iter	Passed	Remaining
0	56	56754
1	72	36233
2	74	24612
3	87	21683
4	88	17554
5	100	16581
6	101	14355
7	102	12683
8	103	11388
9	104	10317
10	105	9473
11	106	8771
12	107	8171
13	108	7664
14	109	7213
15	111	6828
16	112	6482
17	113	6187
18	114	5916
19	115	5672
20	116	5442
21	117	5240
22	118	5041
23	119	4868
24	120	4711
25	121	4568
26	123	4442
27	124	4316
28	125	4202
29	126	4094
30	127	3998
31	128	3902
32	130	3811
33	131	372535	192	5159
36	200	5217
37	204	5177
38	212	5226
39	220	5298
40	226	5292
41	233	5326
42	239	5337
43	247	5383
44	249	5284
45	267	5542
46	278	5642
47	282	5600
48	285	5539
49	290	5524
50	292	5451
51	299	5451
52	299	53553	452	7920
54	453	7788
55	454	7659
56	459	7596
57	469	7624
58	473	7550
59	479	7504
60	486	7487
61	493	7467
62	498	7409
63	504	7376
64	511	7359
65	519	7347
66	524	7305
67	525	7200
68	533	7198
69	534	7097
70	534	6999
71	535	6904
72	546	6943
73	549	6880
74	554	6843
75	560	6812
76	563	6758
77	566	6701
78	569	6640
79	575	6617
80	578	6562
81	583	6531
82	585	6469
83	586	6391
84	598	6437
85	598	6364
86	614	6450
87	621	6438
88	628	6435
89	632	6399
90	633	6330
91	634	6265
92	635	6199
93	639	6164
94	640	6100
95	641	6038
96	643	5988
97	645	5944
98	649	5906
99	656	5910
100	657	5852
101	658	5795
102	659	5740
103	662	5705
104	663	5652
105	665	5608
106	666	5559
107	670	5537
108	671	5487
109	672	5438
110	674	5399
111	674	5351
112	675	5305
113	684	5320
114	687	5291
115	691	5270
116	692	5225
117	693	5180
118	693	5136
119	694	5092
120	695	5049
121	695	5007
122	706	5038
123	716	5062
124	717	5021
125	730	5066
126	734	5045
127	735	5008
128	735	4969
129	739	4949
130	740	4909
131	746	4910
132	750	4893
133	751	4856
134	757	4854
135	758	4817
136	758	4780
137	759	4744
138	760	4709
139	760	4674
140	766	4667
141	769	4652
142	772	4629
143	775	4607
144	778	4593
145	781	4573
146	785	4555
147	785	4522
148	789	4510
149	791	4486
150	792	4458
151	793	4429
152	795	4401
153	797	4380
154	803	4381
155	804	4352
156	805	4325
157	813	4334
158	815	4315
159	819	4303
160	820	4275
161	828	4284
162	834	4287
163	835	4260
164	845	4280
165	850	4275
166	855	4267
167	856	4242
168	867	4265
169	876	4278
170	880	4269
171	884	4255
172	890	4256
173	891	4230
174	891	4205
175	898	4207
176	901	4193
177	902	4168
178	910	4177
179	916	4173
180	920	4163
181	920	4139
182	921	4114
183	922	4090
184	923	4067
185	923	4043
186	924	4020
187	925	3996
188	926	3973
189	926	3949
190	927	3927
191	927	3905
192	928	3883
193	929	3861
194	929	3839
195	930	3817
196	931	3796
197	932	3775
19198	886	3567
199	890	3563
200	894	3553
201	896	3540
202	898	3525
203	900	3515
204	901	3495
205	907	3498
206	913	3498
207	915	3486
208	916	3468
209	921	3467
210	929	3476
211	936	3481
212	942	3480
213	947	3479
214	950	3471
215	951	3453
216	963	347217	1056	3791
218	1063	3791
219	1069	3791
220	1074	3789
221	1075	3769
222	1080	3763
223	1080	3744
224	1081	3725
225	1082	3706
226	1082	3687
227	1083	3669
228	1084	3650
229	1084	3632
230	1085	3614
231	1087232	10232	1091	3593
233	1101	3607
234	1108	3608
235	1109	3590
236	1109237	10237	1117	3577
238	1117239	1065	3372
240	1069	3367
241	1070	3353
242	1071	3337
243	1078	3340
244	1080	3328
245	1080	3312
246	1089	3320
247	1089	3304
248	1090	3289
249	1091	3273
250	1096	3271
251	1096	3255
252	1105	3263
253	1108	3256
254	1111	3248
255	1113	3235
256	1114	3222
257	1115	3208
258	1117	3195
259	1121	3192
260	1129	3196
261	1130	3183
262	1131	3170
263	1154	3217
264	1157	3210
265	1160	3201
266	1164	3196
267	1167	3189
268	1168	3175
269	1171	3166
270	1178	3169
271	1178	3155
272	1180	3142
273	1198	3175
274	1201	3166
275	1205	3162
276	1208	3154
277	1209	3140
278	1209	3126
279	1212	3118
280	1214	3106
281	1217	3101
282	1219	3089
283	1223	3084
284	1231	3089
285	1232	3076
286	1239	3079
287	1250	3090
288	1256	3091
289	1257	3079
290	1258	3066
291	1259	3054
292	1289	3112
293	1290	3099
294	1296	3098
295	1297	3085
296	1297	3072
297	1298	3059
298	1299	3046
299	1300	3033
300	1300	3021
301	1301	3008
302	1302	2996
303	1303	2983
304	1304	2971
305	1311	2974
306	1316	2972
307	1320	2965
308	1325	2965
309	1326	2952
310	1332	2952
311	1335	2945
312	1338	2937
313	1349	2948
314	1362	2962
315	1365	2956
316	1366	2944
317	1367	2932
318	1368	2920
319	1368	2908
320	1369	2896
321	1369	2884
322	1372	2876
323	1376	2872
324	1377	2861
325	1379	2851
326	1393	2867
327	1401	2871
328	1411	2877
329	1417	2878
330	1418	2867
331	1430	2877
332	1432	2869
333	1439	2870
334	1440	2860
335	1441	2849
336	1457	2866
337	1458	2856
338	1468	2862
339	1468	2851
340	1469	2840
341	1480	2849
342	1482	2838
343	1484	2831
344	1492	2833
345	1495	2827
346	1500	2823
347	1505	2821
348	1506	2810
349	1515	2814
350	1521	2812
351	1522	2801
352	1530	2805
353	1536	2803
354	1545	2807
355	1554	2811
356	1558	2806
357	1558	2795
358	1570	2803
359	1576	2802
360	1577	2791
361	1583	2791
362	1591	2793
363	1599	2795
364	1608	2797
365	1609	2787
366	1611	2779
367	1612	2769
368	1613	2759
369	1614	2749
370	1616	2739
371	1617	2730
372	1618	2720
373	1619	2710
374	1620	2701
375	1622	2692
376	1626	2687
377	1632	2686
378	1640	2688
379	1645	2684
380	1649	2679
381	1650	2670
382	1664	2681
383	1671	2681
384	1676	2678
385	1683	2677
386	1690	2677
387	1700	2681
388	1701	2672
389	1722	2694
390	1728	2692
391	1729	2682
392	1738	2685
393	1739	2675
394	1741	2666
395	1741	2656
396	1743	2647
397	1744	2638
398	1745	2629
399	1747	2621
400	1748	2612
401	1762	2621
402	1768	2619
403	1768	2609
404	1769	2599
405	1770	2589
406	1772	2582
407	1773	2573
408	1775	2564
409	1776	2555
410	1806	2588
411	1806	2578
412	1811	2574
413	1812	2565
414	1815	2559
415	1818	2553
416	1821	2546
417	1823	2539
418	1827	2534
419	1836	2535
420	1837	2526
421	1850	2534
422	1851	2525
423	1852	2516
424	1881	2545
425	1882	2536
426	1883	2527
427	1883	2517
428	1884	2508
429	1886	2500
430	1889	2494
431	1889	2484
432	1897	2484
433	1901	2479
434	1905	2474
435	1910	2471
436	1911	2462
437	1916	2459
438	1917	2450
439	1927	2453
440	1928	2445
441	1930	2436
442	1931	2428
443	1932	2419
444	1933	2411
445	1934	2402
446	1934	2393
447	1935	2384
448	1936	2376
449	1937	2368
450	1938	2359
451	1938	2350
452	1939	2342
453	1940	2333
454	1940	2324
455	1941	2316
456	1942	2307
457	1943	2299
458	1943	2290
459	1944	2282
460	1945	2274
461	1945	2265
462	1946	2257
463	1949	2251
464	1949	2243
465	1950	2235
466	1951	2226
467	1951	2218
468	1952	2210
469	1953	2202
470	1953	2194
471	1954	2186
472	1972	2197
473	1973	2189
474	1973	2181
475	1974	2173
476	1976	2167
477	1977	2159
478	1980	2154
479	1986	2152
480	1987	2144
481	1987	2136
482	1988	2128
483	1999	2132
484	2004	2128
485	2010	2126
486	2011	2118
487	2019	2119
488	2020	2111
489	2020	2103
490	2032	2106
491	2034	2100
492	2060	2119
493	2061	2111
494	2069	2111
495	2069	2103
496	2071	2096
497	2072	2088
498	2073	2081
499	2073	2073
500	2092	2084
501	2093	2076
502	2094	2069
503	2094	2061
504	2095	2053
505	2096	2046
506	2096	2038
507	2097	2031
508	2121	2046
509	2124	2041
510	2133	2041
511	2135	2035
512	2144	2035
513	2150	2033
514	2150	2025
515	2164	2030
516	2165	2023
517	2166	2015
518	2188	2028
519	2189	2021
520	2203	2026
521	2208	2022
522	2209	2014
523	2209	2007
524	2227	2015
525	2234	2013
526	2243	2013
527	2251	2013
528	2252	2005
529	2260	2004
530	2263	1998
531	2270	1997
532	2274	1992
533	2280	1990
534	2284	1985
535	2291	1983
536	2293	1977
537	2294	1970
538	2296	1963
539	2313	1970
540	2322	1970
541	2331	1969
542	2332	1962
543	2333	1955
544	2334	1948
545	2342	1947
546	2347	1944
547	2349	1937
548	2356	1935
549	2369	1938
550	2377	1937
551	2379	1931
552	2386	1929
553	2387	1922
554	2388	1915
555	2408	1923
556	2412	1919
557	2413	1911
558	2427	1915
559	2441	1918
560	2442	1911
561	2444	1905
562	2445	1898
563	2464	1904
564	2465	1898
565	2477	1899
566	2478	1892
567	2479	1886
568	2480	1878
569	2481	1872
570	2482	1865
571	2484	1859
572	2485	1852
573	2487	1845
574	2488	1839
575	2489	1832
576	2490	1825
577	2491	1819
578	2492	1812
579	2525	1829
580	2532	1826
581	2535	1821
582	2540	1816
583	2544	1812
584	2549	1808
585	2554	1804
586	2560	1801
587	2566	1798
588	2567	1791
589	2573	1788
590	2574	1781
591	2574	1774
592	2586	1775
593	2588	1769
594	2592	1764
595	2597	1760
596	2597	1753
597	2598	1746
598	2599	1739
599	2604	1736
600	2611	1733
601	2614	1728
602	2621	1725
603	2626	1722
604	2629	1716
605	2634	1712
606	2637	1707
607	2641	1703
608	2642	1696
609	2644	1691
610	2645	1684
611	2646	1677
612	2646	1671
613	2647	1664
614	2657	1663
615	2661	1659
616	2662	1652
617	2665	1647
618	2667	1642
619	2668	1635
620	2674	1632
621	2679	1628
622	2680	1622
623	2681	1615
624	2683	1610
625	2685	1604
626	2686	1598
627	2692	1594
628	2695	1590
629	2699	1585
630	2699	1578
631	2710	1577
632	2713	1573
633	2714	1566
634	2721	1564
635	2725	1559
636	2726	1553
637	2726	1547
638	2742	1549
639	2742	1542
640	2751	1541
641	2752	1534
642	2753	1528
643	2761	1526
644	2762	1520
645	2763	1514
646	2763	1507
647	2764	1501
648	2765	1495
649	2765	1489
650	2766	1482
651	2766	1476
652	2767	1470
653	2768	1464
654	2768	1458
655	2769	1452
656	2769	1446
657	2770	1440
658	2771	1434
659	2771	1427
660	2772	1421
661	2773	1415
662	2773	1409
663	2774	1404
664	2775	1398
665	2776	1392
666	2776	1386
667	2777	1380
668	2778	1374
669	2778	1368
670	2779	1362
671	2779	1356
672	2780	1351
673	2781	1345
674	2781	1339
675	2782	1333
676	2783	1327
677	2783	1322
678	2784	1316
679	2785	1310
680	2785	1304
681	2786	1299
682	2787	1293
683	2787	1287
684	2788	1282
685	2788	1276
686	2789	1270
687	2790	1265
688	2791	1259
689	2791	1254
690	2792	1248
691	2793	1243
692	2793	1237
693	2794	1232
694	2794	1226
695	2795	1221
696	2796	1215
697	2797	1210
698	2797	1204
699	2798	1199
700	2798	1193
701	2799	1188
702	2800	1183
703	2800	1177
704	2801	1172
705	2802	1166
706	2802	1161
707	2803	1156
708	2804	1150
709	2804	1145
710	2805	1140
711	2805	1134
712	2806	1129
713	2807	1124
714	2807	1119
715	2808	1113
716	2808	1108
717	2809	1103
718	2810	1098
719	2810	1093
720	2811	1087
721	2811	1082
722	2812	1077
723	2813	1072
72734	2852	1028
735	2858	1025
736	2862	1021
737	2868	1018
738	2869	1013
739	2869	1008
740	730	2903	1068
731	2912	742	2732	2917	743	2898	997
744	2899	992
745	2908	990
746	2910	985
747	2911	980
748	2914	976
749	2916	972
750	2920	968
751	2923	964
752	2925	959
753	2926	954
754	2928	950
755744	2957	1012
745	2968	1010
746	2976	1008
747	2977	1003
748	2987	1001
749	2988	996
750	2995	993
751	2995	987
752	2996	982
753	2997	977
754	2997	972
755	2998	967
756	2999	962
757	2999	957
758	3000	952
759	3771	2979	879
772	2981	875
773	2985	871
774	2986	867
775	2987	862
776	3000	861
777	3003	857
778	3010	853
779	3015	850
780	3019	846
781	3024	843
782	3030	839
783	3035	836
784	3038	832
785	3043	828
786	3048	825
787	3048	820
788	3049	815
789	3050	810
790	3051	806
791	3051	801
792	3052	796
793	3053	792
794	3053	787
795	3054	782
796	3055	778
797	3055	773
798	3056	768
799	3056	764
800	3057	759
801	3058	755
802	3058	750
803	3059	745
804	3115	754
805	3119	750
806	3122	746
807	3126	742
808	3128	738
809	3133	734
810	3133	730
811	3134	725
812	3135	721
813	3135	716
814	3136	711
815	3137	707
816	3137	702
817	3138	698
818	3139	693
819	3139	689
820	3140	684
821	3141	680
822	3141	675
823	3142	671
824	3143	666
825	3144	662
826	3144	657
827	3145	653
828	3146	648
829	3146	644
830	3147	640
831	3155	637
832	3157	633
833	3162	629
834	3164	625
835	3165	620
836	3166	616
837	3166	612
838	3167	607
839	3170	603
840	3178	600
841	3179	596
842	3191	594
843	3202	591
844	3217	590
845	3218	585
846	3230	583
847	3231	579
848	3232	574
849	3233	570
850	3234	566
851	3235	562
852	3236	557
853	3238	553
854	3239	549
855	3240	545
856	3242	541
857	3243	536
858	3244	532
859	3245	528
860	3316	535
861	3317	531
862	3318	526
863	3319	522
864	3321	518
865	3322	514
866	3362	515
867	3363	511
868	3364	507
869	3365	502
870	3366	498
871	3366	494
872	3367	489
873	3368	485
874	3368	481
875	3369	476
876	3369	472
877	3370	468
878	3371	464
879	3371	459
880	3372	455
881	3373	451
882	3373	447
883	3374	442
884	3374	438
885	3375	434
886	3376	430
887	3376	425
888	3377	421
889	3377	417
890	3378	413
891	3378	409
892	3379	404
893	3380	400
894	3381	396
895	3383	392
896	3384	388
897	3385	384
898	3387	380
899	3391	376
900	3393	372
901	3397	369
902	3400	365
903	3406	361
904	3409	357
905	3410	353
906	3411	349
907	3413	345
908	3414	341
909	3416	337
910	3418	333
911	3419	329
912	3420	325
913	3421	321
914	3423	317
915	3425	314
916	3427	310
917	3429	306
918	3430	302
919	3431	298
920	3433	294
921	3434	290
922	3435	286
923	3435	282
924	3436	278
925	3437	274
926	3438	270
927	3439	266
928	3439	262
929	3440	258
930	3441	255
931	3442	251
932	3442	247
933	3443	243
934	3444	239
935	3444	235
936	3445	231
937	3446	227
938	3446	223
939	3447	220
940	3447	216
941	3448	212
942	3449	208
943	3449	204
944	3450	200
945	3451	196
946	3451	193
947	3452	189
948	3453	185
949	3453	181
950	3454	177
951	3455	174
952	3455	170
953	3456	166
954	3457	162
955	3457	159
956	3459	155
957	3459	151
958	3460	147
959	3461	144
960	3462	140
961	3462	136
962	3463	133
963	3464	129
964	3465	125
965	3465	121
966	3466	118
967	3467	114
968	3468	110
969	3468	107
970	3469	103
971	3470960	972	3471	961973	3471	9962	3497	134
963	3500	130
964	3502	127
965	3506	123
966	3510	119
967	3512	116
968	3514	112
969	3516	108
970	3518	105
971	3521	101
972	3521	97
973	3522	94
974	3523	90
975	3523	86
976	3524	82
977	3525	79
978	3526	75
979	3527	71
980	3527	68
981	3528	64
982	3529	61
983	3530	57
984	3530	53
985	3531	50
986	3532	46
987	3532	42
988	3533	39
989	3534	35
990	3535	32
991	3536	28
992	3536	24
993	3537	21
994	3538	17
995	3539	14
996	3539	10
997	3540	7
998	3541	3
999	3542	0
